urun_fiyat,urun_puan,ekran_ekran_boyutu,ekran_ekran_teknolojisi,ekran_ekran_çözünürlüğü_standardı,ekran_ekran_yenileme_hızı,ekran_ekran_dayanıklılığı,batarya_batarya_kapasitesi_tipik,batarya_hızlı_şarj,batarya_hızlı_şarj_gücü_maks.,batarya_kablosuz_şarj,kamera_kamera_çözünürlüğü,kamera_optik_görüntü_sabitleyici_ois,kamera_video_kayıt_çözünürlüğü,kamera_video_fps_değeri,kamera_ön_kamera_çözünürlüğü,temel_donanim_yonga_seti_chipset,temel_donanim_cpu_çekirdeği,temel_donanim_cpu_üretim_teknolojisi,temel_donanim_antutu_puanı_v10,temel_donanim_bellek_ram,temel_donanim_dahili_depolama,tasarim_kalınlık,tasarim_ağırlık,tasarim_gövde_malzemesi_kapak,ağ_bağlantilari_5g,kablosuz_bağlantilar_bluetooth_versiyonu,kablosuz_bağlantilar_nfc,i̇şleti̇m_si̇stemi̇_i̇şletim_sistemi,özelli̇kler_suya_dayanıklılık,özelli̇kler_suya_dayanıklılık_seviyesi
70799.00,86,6.3 İnç,OLED,FHD+,120 Hz,Corning Ceramic Shield Glass (Gen2),3692 mAh,Var,40 W,Var,48 MP,Var,2160p (Ultra HD) 4K,60 fps,18 MP,Apple A19,6 Çekirdek,3 nm,2.542.200 Puan,8 GB,256 GB,7.95 mm,177 Gram,Cam,Var,6.0,Var,iOS,Var,IPX8
47399.00,73,6.1 İnç,OLED,FHD+,60 Hz,Corning Ceramic Shield Glass,3349 mAh,Var,20 W,Var,48 MP,Var,2160p (Ultra HD) 4K,60 fps,12 MP,Apple A16 Bionic,6 Çekirdek,4 nm,1.753.700 Puan,6 GB,128 GB,7.8 mm,171 Gram,Cam,Var,5.3,Var,iOS,Var,IPX8
32568.65,79,6.7 İnç,Dynamic AMOLED,FHD+,120 Hz,Corning Gorilla Glass Victus+,4900 mAh,Var,45 W,Var,50 MP,Var,4320p (Ultra HD) 8K,30 fps,12 MP,Samsung Exynos 2400,10 Çekirdek,4 nm,1.810.600 Puan,8 GB,256 GB,7.4 mm,190 Gram,Cam,Var,5.4,Var,Android,Var,IPX8
40135.00,93,6.83 İnç,AMOLED,FHD+,144 Hz,Corning Gorilla Glass 7i,5500 mAh,Var,90 W,Var,50 MP,Var,4320p (Ultra HD) 8K,30 fps,32 MP,MediaTek Dimensity 9400+,8 Çekirdek,3 nm,2.393.700 Puan,12 GB,512 GB,7.96 mm,210 Gram,Fiberglass,Var,6.0,Var,Android,Var,IPX8
95999.00,94,6.3 İnç,OLED,FHD+,120 Hz,Corning Ceramic Shield Glass (Gen2),3988 mAh,Var,40 W,Var,48 MP,Var,2160p (Ultra HD) 4K,60 fps,18 MP,Apple A19 Pro,6 Çekirdek,3 nm,2.430.600 Puan,12 GB,256 GB,8.75 mm,204 Gram,Cam,Var,6.0,Var,iOS,Var,IPX8
106999.00,95,6.9 İnç,OLED,FHD+,120 Hz,Corning Ceramic Shield Glass (Gen2),4832 mAh,Var,40 W,Var,48 MP,Var,2160p (Ultra HD) 4K,60 fps,18 MP,Apple A19 Pro,6 Çekirdek,3 nm,2.697.900 Puan,12 GB,256 GB,8.75 mm,231 Gram,Cam,Var,6.0,Var,iOS,Var,IPX8
37799.03,68,6.1 İnç,OLED,FHD+,60 Hz,Corning Ceramic Shield Glass,3227 mAh,Var,20 W,Var,12 MP,Var,2160p (Ultra HD) 4K,60 fps,12 MP,Apple A15 Bionic,6 Çekirdek,5 nm,1.550.800 Puan,4 GB,128 GB,7.65 mm,174 Gram,Cam,Var,5.0,Var,iOS,Var,IPX8
21905.00,80,6.67 İnç,AMOLED,FHD+,120 Hz,Corning Gorilla Glass 7i,6000 mAh,Var,90 W,Yok,50 MP,Var,2160p (Ultra HD) 4K,60 fps,20 MP,MediaTek Dimensity 8400,8 Çekirdek,4 nm,1.700.100 Puan,12 GB,512 GB,8.29 mm,195 Gram,Kauçuk/Plastik (Deri Görünümlü) | Plastik (Cam Görünümlü),Var,6.0,Var,Android,Var,IPX8
74999.00,,6.78 İnç,AMOLED,FHD+,165 Hz,Corning Gorilla Glass Victus 2,7300 mAh,Var,120 W,Var,50 MP,Var,4320p (Ultra HD) 8K,30 fps,32 MP,Qualcomm Snapdragon 8 Elite Gen 5,8 Çekirdek,3 nm,,16 GB,512 GB,8.2 mm,215 Gram,,Var,6.0,Var,Android,Var,IPX9K
22599.00,68,6.7 İnç,Super AMOLED,FHD+,120 Hz,Corning Gorilla Glass Victus+,5000 mAh,Var,45 W,Yok,50 MP,Var,2160p (Ultra HD) 4K,30 fps,12 MP,Samsung Exynos 1580,8 Çekirdek,4 nm,910.500 Puan,8 GB,256 GB,7.4 mm,198 Gram,Cam,Var,5.3,Var,Android,Var,IPX7
32074.02,79,6.2 İnç,Dynamic AMOLED,FHD+,120 Hz,Corning Gorilla Glass Victus 2,4000 mAh,Var,25 W,Var,50 MP,Var,4320p (Ultra HD) 8K,30 fps,12 MP,Samsung Exynos 2400,10 Çekirdek,4 nm,1.851.600 Puan,8 GB,256 GB,7.6 mm,167 Gram,Cam,Var,5.3,Var,Android,Var,IPX8
12959.00,63,6.67 İnç,AMOLED,FHD+,120 Hz,Corning Gorilla Glass Victus 2,5500 mAh,Var,45 W,Yok,200 MP,Var,1080p (Full HD),60 fps,32 MP,MediaTek Helio G100,8 Çekirdek,6 nm,423.900 Puan,8 GB,256 GB,8.24 mm,180 Gram,Plastik (Cam Görünümlü),Yok,5.3,Var,Android,Var,IPX4
58849.00,79,6.1 İnç,OLED,FHD+,60 Hz,Corning Ceramic Shield Glass (Gen2),3561 mAh,Var,25 W,Var,48 MP,Var,2160p (Ultra HD) 4K,60 fps,12 MP,Apple A18,6 Çekirdek,3 nm,1.517.700 Puan,8 GB,128 GB,7.8 mm,170 Gram,Cam,Var,5.3,Var,iOS,Var,IPX8
12349.05,53,6.68 İnç,IPS LCD,HD+,120 Hz,SCHOTT Glass,6500 mAh,Var,44 W,Yok,50 MP,Yok,1080p (Full HD),30 fps,8 MP,Qualcomm Snapdragon 685 (SM6225-AD),8 Çekirdek,6 nm,336.600 Puan,8 GB,256 GB,8.09 mm,208 Gram,,Yok,5.0,,Android,Var,IPX4
34999.00,87,6.7 İnç,AMOLED,FHD+,120 Hz,,6000 mAh,Var,100 W,Var,200 MP,Var,2160p (Ultra HD) 4K,60 fps,50 MP,Qualcomm Snapdragon 8 Gen 3 (SM8650-AB/AC),8 Çekirdek,4 nm,1.902.700 Puan,12 GB,512 GB,8.1 mm,205 Gram,,Var,5.4,Var,Android,Var,IPX9
43754.00,92,6.83 İnç,AMOLED,FHD+,144 Hz,Corning Gorilla Glass 7i,5500 mAh,Var,90 W,Var,50 MP,Var,4320p (Ultra HD) 8K,30 fps,32 MP,MediaTek Dimensity 9400+,8 Çekirdek,3 nm,2.393.700 Puan,12 GB,256 GB,7.96 mm,210 Gram,Fiberglass,Var,6.0,Var,Android,Var,IPX8
17343.99,66,6.7 İnç,Super AMOLED,FHD+,120 Hz,Corning Gorilla Glass Victus+,5000 mAh,Var,45 W,Yok,50 MP,Var,2160p (Ultra HD) 4K,30 fps,12 MP,Qualcomm Snapdragon 6 Gen 3 (SM6475-AB),8 Çekirdek,4 nm,655.200 Puan,8 GB,256 GB,7.4 mm,195 Gram,Cam,Var,5.4,Var,Android,Var,IPX7
18059.00,69,6.4 İnç,Dynamic AMOLED,FHD+,120 Hz,Corning Gorilla Glass Victus,4500 mAh,Var,25 W,Var,12 MP,Var,2160p (Ultra HD) 4K,60 fps,32 MP,Samsung Exynos 2100,8 Çekirdek,5 nm,941.400 Puan,8 GB,128 GB,7.9 mm,177 Gram,Polimer (Cam Görünümlü),Var,5.0,Var,Android,Var,IPX8
39999.00,77,6.1 İnç,OLED,FHD+,60 Hz,Corning Ceramic Shield Glass,4005 mAh,Var,20 W,Var,48 MP,Var,2160p (Ultra HD) 4K,60 fps,12 MP,Apple A18,6 Çekirdek,3 nm,1.405.700 Puan,8 GB,128 GB,7.8 mm,167 Gram,Cam,Var,5.3,Var,iOS,Var,IPX8
46999.00,87,6.2 İnç,Dynamic AMOLED,FHD+,120 Hz,Corning Gorilla Glass Victus 2,4000 mAh,Var,25 W,Var,50 MP,Var,4320p (Ultra HD) 8K,30 fps,12 MP,Qualcomm Snapdragon 8 Elite,8 Çekirdek,3 nm,2.193.700 Puan,12 GB,256 GB,7.2 mm,162 Gram,Cam,Var,5.4,Var,Android,Var,IPX8
24960.00,53,6.1 İnç,IPS LCD,HD+,60 Hz,,3110 mAh,Var,20 W,Var,12 MP,Var,2160p (Ultra HD) 4K,60 fps,12 MP,Apple A13 Bionic,6 Çekirdek,7 nm,950.700 Puan,4 GB,64 GB,8.3 mm,194 Gram,Cam,Yok,5.0,Var,iOS,Var,IPX8
18614.30,,6.77 İnç,AMOLED,FHD+,120 Hz,Corning Gorilla Glass Victus 2,6500 mAh,Var,45 W,Yok,200 MP,Var,1080p (Full HD),60 fps,32 MP,MediaTek Helio G200,8 Çekirdek,6 nm,,8 GB,256 GB,7.96 mm,195 Gram,,Yok,5.3,Var,Android,Var,IPX5
40499.00,84,6.7 İnç,Dynamic AMOLED,QHD+,120 Hz,Corning Gorilla Glass Victus 2,4900 mAh,Var,45 W,Var,50 MP,Var,4320p (Ultra HD) 8K,30 fps,12 MP,Samsung Exynos 2400,10 Çekirdek,4 nm,1.827.100 Puan,12 GB,256 GB,7.7 mm,196 Gram,Cam,Var,5.3,Var,Android,Var,IPX8
66480.00,88,6.8 İnç,Dynamic AMOLED,QHD+,120 Hz,Corning Gorilla Armor,5000 mAh,Var,45 W,Var,200 MP,Var,4320p (Ultra HD) 8K,30 fps,12 MP,Qualcomm Snapdragon 8 Gen 3 (SM8650-AB/AC),8 Çekirdek,4 nm,2.019.200 Puan,12 GB,256 GB,8.6 mm,232 Gram,Cam,Var,5.3,Var,Android,Var,IPX8
49499.01,87,6.7 İnç,Dynamic AMOLED,QHD+,120 Hz,Corning Gorilla Glass Ceramic 2,3900 mAh,Var,25 W,Var,200 MP,Var,4320p (Ultra HD) 8K,30 fps,12 MP,Qualcomm Snapdragon 8 Elite,8 Çekirdek,3 nm,2.161.200 Puan,12 GB,256 GB,5.8 mm,163 Gram,Cam,Var,5.4,Var,Android,Var,IPX8
78239.04,93,6.9 İnç,Dynamic AMOLED,QHD+,120 Hz,Corning Gorilla Armor 2,5000 mAh,Var,45 W,Var,200 MP,Var,4320p (Ultra HD) 8K,30 fps,12 MP,Qualcomm Snapdragon 8 Elite,8 Çekirdek,3 nm,2.551.600 Puan,12 GB,256 GB,8.2 mm,218 Gram,Cam,Var,5.4,Var,Android,Var,IPX8
16320.00,66,6.5 İnç,Super AMOLED,FHD+,120 Hz,Corning Gorilla Glass 3,4500 mAh,Var,25 W,Var,12 MP,Var,2160p (Ultra HD) 4K,60 fps,32 MP,Qualcomm Snapdragon 865 (SM8250),8 Çekirdek,7 nm,802.900 Puan,6 GB,128 GB,8.4 mm,190 Gram,Polimer (Cam Görünümlü),Yok,5.0,Var,Android,Var,IPX8
21389.93,78,6.67 İnç,AMOLED,FHD+,120 Hz,Corning Gorilla Glass 7i,6000 mAh,Var,90 W,Yok,50 MP,Var,2160p (Ultra HD) 4K,60 fps,20 MP,MediaTek Dimensity 8400,8 Çekirdek,4 nm,1.700.100 Puan,8 GB,256 GB,8.29 mm,195 Gram,Kauçuk/Plastik (Deri Görünümlü) | Plastik (Cam Görünümlü),Var,6.0,Var,Android,Var,IPX8
14299.00,63,6.7 İnç,Super AMOLED,FHD+,120 Hz,Corning Gorilla Glass Victus+,5000 mAh,Var,25 W,Yok,50 MP,Var,2160p (Ultra HD) 4K,30 fps,13 MP,Samsung Exynos 1380,8 Çekirdek,5 nm,599.200 Puan,8 GB,256 GB,7.7 mm,200 Gram,Cam,Var,5.3,Var,Android,Var,IPX7
21999.00,,6.79 İnç,AMOLED,FHD+,120 Hz,,7500 mAh,Var,66 W,Yok,108 MP,Var,2160p (Ultra HD) 4K,30 fps,16 MP,Qualcomm Snapdragon 6 Gen 4 (SM6650),8 Çekirdek,4 nm,754.200 Puan,8 GB,256 GB,7.76 mm,189 Gram,Plastik (Cam Görünümlü),Var,5.2,Var,Android,Var,IPX9K
16399.00,69,6.4 İnç,Dynamic AMOLED,FHD+,120 Hz,Corning Gorilla Glass Victus,4500 mAh,Var,25 W,Var,12 MP,Var,2160p (Ultra HD) 4K,60 fps,32 MP,Qualcomm Snapdragon 888 (SM8350),8 Çekirdek,5 nm,955.800 Puan,8 GB,128 GB,7.9 mm,177 Gram,Polimer (Cam Görünümlü),Var,5.0,Var,Android,Var,IPX8
14396.30,62,6.67 İnç,AMOLED,FHD+,120 Hz,Corning Gorilla Glass 5,5000 mAh,Var,67 W,Yok,200 MP,Var,1080p (Full HD),60 fps,16 MP,MediaTek Helio G99 (MT6789),8 Çekirdek,6 nm,430.200 Puan,8 GB,256 GB,7.98 mm,188 Gram,Cam,Yok,5.2,Var,Android,Var,IPX4
34999.00,87,6.7 İnç,AMOLED,FHD+,120 Hz,,6000 mAh,Var,100 W,Var,200 MP,Var,2160p (Ultra HD) 4K,60 fps,50 MP,Qualcomm Snapdragon 8 Gen 3 (SM8650-AB/AC),8 Çekirdek,4 nm,1.902.700 Puan,12 GB,512 GB,8.1 mm,205 Gram,,Var,5.4,Var,Android,Var,IPX9
12221.03,63,6.67 İnç,AMOLED,FHD+,120 Hz,Corning Gorilla Glass 5,5000 mAh,Var,67 W,Yok,50 MP,Var,2160p (Ultra HD) 4K,30 fps,16 MP,MediaTek Dimensity 1080 (MT6877V/TTZA),8 Çekirdek,6 nm,585.100 Puan,8 GB,256 GB,7.9 mm,187 Gram,Cam,Var,5.2,Var,Android,Var,IPX3
21883.20,72,6.67 İnç,AMOLED,FHD+,120 Hz,Corning Gorilla Glass Victus,5000 mAh,Var,120 W,Yok,200 MP,Var,2160p (Ultra HD) 4K,30 fps,16 MP,MediaTek Dimensity 7200,8 Çekirdek,4 nm,742.500 Puan,12 GB,512 GB,8.9 mm,204.5 Gram,Cam,Var,5.3,Var,Android,Var,IPX8
16664.52,,6.78 İnç,AMOLED,FHD+,144 Hz,,5000 mAh,Var,45 W,Yok,108 MP,Var,2160p (Ultra HD) 4K,60 fps,32 MP,MediaTek Dimensity 8200,8 Çekirdek,4 nm,1.003.900 Puan,12 GB,256 GB,8.15 mm,194 Gram,,Var,,Var,Android,Var,IPX4
44999.00,69,6.1 İnç,OLED,FHD+,60 Hz,Corning Ceramic Shield Glass,3279 mAh,Var,20 W,Var,12 MP,Var,2160p (Ultra HD) 4K,60 fps,12 MP,Apple A15 Bionic,6 Çekirdek,5 nm,1.381.900 Puan,6 GB,128 GB,7.8 mm,172 Gram,Cam,Var,5.3,Var,iOS,Var,IPX8
43754.00,92,6.83 İnç,AMOLED,FHD+,144 Hz,Corning Gorilla Glass 7i,5500 mAh,Var,90 W,Var,50 MP,Var,4320p (Ultra HD) 8K,30 fps,32 MP,MediaTek Dimensity 9400+,8 Çekirdek,3 nm,2.393.700 Puan,12 GB,256 GB,7.96 mm,210 Gram,Fiberglass,Var,6.0,Var,Android,Var,IPX8
17343.99,66,6.7 İnç,Super AMOLED,FHD+,120 Hz,Corning Gorilla Glass Victus+,5000 mAh,Var,45 W,Yok,50 MP,Var,2160p (Ultra HD) 4K,30 fps,12 MP,Qualcomm Snapdragon 6 Gen 3 (SM6475-AB),8 Çekirdek,4 nm,655.200 Puan,8 GB,256 GB,7.4 mm,195 Gram,Cam,Var,5.4,Var,Android,Var,IPX7
114999.00,88,6.7 İnç,OLED,FHD+,120 Hz,Corning Ceramic Shield Glass,4441 mAh,Var,20 W,Var,48 MP,Var,2160p (Ultra HD) 4K,60 fps,12 MP,Apple A17 Pro,6 Çekirdek,3 nm,1.740.400 Puan,8 GB,256 GB,8.25 mm,221 Gram,Cam,Var,5.3,Var,iOS,Var,IPX8
18059.00,69,6.4 İnç,Dynamic AMOLED,FHD+,120 Hz,Corning Gorilla Glass Victus,4500 mAh,Var,25 W,Var,12 MP,Var,2160p (Ultra HD) 4K,60 fps,32 MP,Samsung Exynos 2100,8 Çekirdek,5 nm,941.400 Puan,8 GB,128 GB,7.9 mm,177 Gram,Polimer (Cam Görünümlü),Var,5.0,Var,Android,Var,IPX8
39999.00,77,6.1 İnç,OLED,FHD+,60 Hz,Corning Ceramic Shield Glass,4005 mAh,Var,20 W,Var,48 MP,Var,2160p (Ultra HD) 4K,60 fps,12 MP,Apple A18,6 Çekirdek,3 nm,1.405.700 Puan,8 GB,128 GB,7.8 mm,167 Gram,Cam,Var,5.3,Var,iOS,Var,IPX8
46999.00,87,6.2 İnç,Dynamic AMOLED,FHD+,120 Hz,Corning Gorilla Glass Victus 2,4000 mAh,Var,25 W,Var,50 MP,Var,4320p (Ultra HD) 8K,30 fps,12 MP,Qualcomm Snapdragon 8 Elite,8 Çekirdek,3 nm,2.193.700 Puan,12 GB,256 GB,7.2 mm,162 Gram,Cam,Var,5.4,Var,Android,Var,IPX8
37149.06,88,6.67 İnç,AMOLED,FHD+,144 Hz,Xiaomi Longjing Glass,5000 mAh,Var,120 W,Var,50 MP,Var,4320p (Ultra HD) 8K,30 fps,32 MP,MediaTek Dimensity 9300+,8 Çekirdek,4 nm,2.017.000 Puan,12 GB,512 GB,8.39 mm,209 Gram,Cam,Var,5.4,Var,Android,Var,IPX8
74880.00,83,6.7 İnç,OLED,FHD+,60 Hz,Corning Ceramic Shield Glass (Gen2),4674 mAh,Var,30 W,Var,48 MP,Var,2160p (Ultra HD) 4K,60 fps,12 MP,Apple A18,6 Çekirdek,3 nm,1.572.700 Puan,8 GB,256 GB,7.8 mm,199 Gram,Cam,Var,5.3,Var,iOS,Var,IPX8
24960.00,53,6.1 İnç,IPS LCD,HD+,60 Hz,,3110 mAh,Var,20 W,Var,12 MP,Var,2160p (Ultra HD) 4K,60 fps,12 MP,Apple A13 Bionic,6 Çekirdek,7 nm,950.700 Puan,4 GB,64 GB,8.3 mm,194 Gram,Cam,Yok,5.0,Var,iOS,Var,IPX8
18614.30,,6.77 İnç,AMOLED,FHD+,120 Hz,Corning Gorilla Glass Victus 2,6500 mAh,Var,45 W,Yok,200 MP,Var,1080p (Full HD),60 fps,32 MP,MediaTek Helio G200,8 Çekirdek,6 nm,,8 GB,256 GB,7.96 mm,195 Gram,,Yok,5.3,Var,Android,Var,IPX5
9599.00,51,6.79 İnç,IPS LCD,FHD+,90 Hz,Corning Gorilla Glass 3,5030 mAh,Var,33 W,Yok,108 MP,Yok,1080p (Full HD),30 fps,13 MP,MediaTek Helio G91,8 Çekirdek,12 nm,275.200 Puan,8 GB,256 GB,8.3 mm,205 Gram,Cam,Yok,5.4,Var,Android,Var,IPX3
28910.76,80,6.67 İnç,AMOLED,FHD+,144 Hz,Corning Gorilla Glass 5,5000 mAh,Var,67 W,Yok,50 MP,Var,2160p (Ultra HD) 4K,60 fps,32 MP,MediaTek Dimensity 8300,8 Çekirdek,4 nm,1.359.000 Puan,12 GB,256 GB,7.8 mm,195 Gram,Plastik (Cam Görünümlü),Var,5.4,Var,Android,Var,IPX8
82999.00,91,6.3 İnç,OLED,FHD+,120 Hz,Corning Ceramic Shield Glass (Gen2),3582 mAh,Var,25 W,Var,48 MP,Var,2160p (Ultra HD) 4K,60 fps,12 MP,Apple A18 Pro,6 Çekirdek,3 nm,1.853.700 Puan,8 GB,256 GB,8.25 mm,199 Gram,Cam,Var,5.3,Var,iOS,Var,IPX8
20640.00,66,6.6 İnç,Super AMOLED,FHD+,120 Hz,Corning Gorilla Glass Victus+,5000 mAh,Var,25 W,Yok,50 MP,Var,2160p (Ultra HD) 4K,30 fps,32 MP,Samsung Exynos 1480,8 Çekirdek,4 nm,740.800 Puan,8 GB,128 GB,8.2 mm,213 Gram,Cam,Var,5.3,Var,Android,Var,IPX7
21812.50,70,6.67 İnç,AMOLED,FHD+,120 Hz,Corning Gorilla Glass Victus,5100 mAh,Var,67 W,Yok,200 MP,Var,2160p (Ultra HD) 4K,30 fps,16 MP,Qualcomm Snapdragon 7s Gen 2 (SM7435-AB),8 Çekirdek,4 nm,601.700 Puan,12 GB,512 GB,7.98 mm,187 Gram,Cam,Var,5.2,Var,Android,Var,IPX4
39883.75,87,6.67 İnç,AMOLED,FHD+,144 Hz,Xiaomi Longjing Glass,5000 mAh,Var,120 W,Var,50 MP,Var,4320p (Ultra HD) 8K,30 fps,32 MP,MediaTek Dimensity 9300+,8 Çekirdek,4 nm,2.017.000 Puan,12 GB,256 GB,8.39 mm,209 Gram,Cam,Var,5.4,Var,Android,Var,IPX8
30469.52,80,6.67 İnç,AMOLED,FHD+,144 Hz,Corning Gorilla Glass 5,5000 mAh,Var,120 W,Yok,50 MP,Var,4320p (Ultra HD) 8K,24 fps,20 MP,MediaTek Dimensity 9200+,8 Çekirdek,4 nm,1.527.500 Puan,12 GB,512 GB,8.62 mm,206 Gram,Cam | Kauçuk/Plastik (Deri Görünümlü),Var,5.4,Var,Android,Var,IPX8
10499.00,59,6.78 İnç,AMOLED,FHD+,120 Hz,,5000 mAh,Var,70 W,Yok,50 MP,Var,1440p (Quad HD) 2K,30 fps,50 MP,MediaTek Helio G99 (MT6789),8 Çekirdek,6 nm,435.500 Puan,8 GB,256 GB,7.7 mm,190 Gram,,Yok,5.3,Var,Android,Yok,
8799.00,52,6.72 İnç,IPS LCD,FHD+,90 Hz,,5000 mAh,Var,33 W,Yok,108 MP,Yok,1080p (Full HD),30 fps,8 MP,Qualcomm Snapdragon 685 (SM6225-AD),8 Çekirdek,6 nm,314.800 Puan,8 GB,256 GB,7.59 mm,185 Gram,Plastik (Cam Görünümlü),Yok,5.0,Var,Android,Var,IPX4
49499.01,87,6.7 İnç,Dynamic AMOLED,QHD+,120 Hz,Corning Gorilla Glass Ceramic 2,3900 mAh,Var,25 W,Var,200 MP,Var,4320p (Ultra HD) 8K,30 fps,12 MP,Qualcomm Snapdragon 8 Elite,8 Çekirdek,3 nm,2.161.200 Puan,12 GB,256 GB,5.8 mm,163 Gram,Cam,Var,5.4,Var,Android,Var,IPX8
72000.00,89,6.8 İnç,Dynamic AMOLED,QHD+,120 Hz,Corning Gorilla Armor,5000 mAh,Var,45 W,Var,200 MP,Var,4320p (Ultra HD) 8K,30 fps,12 MP,Qualcomm Snapdragon 8 Gen 3 (SM8650-AB/AC),8 Çekirdek,4 nm,2.043.500 Puan,12 GB,512 GB,8.6 mm,232 Gram,Cam,Var,5.3,Var,Android,Var,IPX8
21769.46,75,6.67 İnç,AMOLED,FHD+,120 Hz,Corning Gorilla Glass Victus,5000 mAh,Var,90 W,Yok,50 MP,Var,2160p (Ultra HD) 4K,60 fps,20 MP,Qualcomm Snapdragon 8s Gen 3 (SM8635),8 Çekirdek,4 nm,1.510.100 Puan,12 GB,512 GB,7.8 mm,179 Gram,Plastik (Cam Görünümlü),Var,5.4,Var,Android,Var,IPX4
16320.00,66,6.5 İnç,Super AMOLED,FHD+,120 Hz,Corning Gorilla Glass 3,4500 mAh,Var,25 W,Var,12 MP,Var,2160p (Ultra HD) 4K,60 fps,32 MP,Qualcomm Snapdragon 865 (SM8250),8 Çekirdek,7 nm,802.900 Puan,6 GB,128 GB,8.4 mm,190 Gram,Polimer (Cam Görünümlü),Yok,5.0,Var,Android,Var,IPX8
21389.93,78,6.67 İnç,AMOLED,FHD+,120 Hz,Corning Gorilla Glass 7i,6000 mAh,Var,90 W,Yok,50 MP,Var,2160p (Ultra HD) 4K,60 fps,20 MP,MediaTek Dimensity 8400,8 Çekirdek,4 nm,1.700.100 Puan,8 GB,256 GB,8.29 mm,195 Gram,Kauçuk/Plastik (Deri Görünümlü) | Plastik (Cam Görünümlü),Var,6.0,Var,Android,Var,IPX8
